Loan ID,Rating,EAD,Maturity,Sector,Country,Secured,PD,LGD,RWA,RWA_after_CDS,RWA_final
L00055,BBB,387605.2,8,Healthcare,Brazil,Yes,0.005,0.45,517775.16,517775.1604682571,517775.1604682571
L00056,B,162440.79,1,Healthcare,France,Yes,0.05,0.45,214258.42,214258.4246829581,214258.4246829581
L00057,AA,607865.56,3,Healthcare,China,Yes,0.0006,0.45,151610.06,151610.06097029004,151610.06097029004
L00058,A,238082.09,6,Transport,Italy,Yes,0.002,0.45,181550.4,181550.4011449696,181550.4011449696
L00059,AAA,455871.53,9,Transport,Germany,Yes,0.0003,0.45,201445.04,201445.03508103563,201445.03508103563
L00060,A,508229.54,2,Manufacturing,UK,No,0.002,0.75,332648.93,332648.928985389,332648.928985389
L00061,BBB,873557.56,1,Finance,UK,Yes,0.005,0.45,455691.24,455691.23562232417,455691.23562232417
L00062,A,229943.71,10,Manufacturing,Germany,No,0.002,0.75,433977.59,433977.5933605338,433977.5933605338
L00063,B,97757.37,3,Finance,USA,Yes,0.05,0.45,152344.51,152344.51105330177,152344.51105330177
L00064,BBB,485009.99,4,Manufacturing,China,Yes,0.005,0.45,422242.33,422242.3263460128,422242.3263460128
L00065,A,1088439.51,5,Energy,Brazil,Yes,0.002,0.45,729356.89,729356.8859806902,729356.8859806902
L00066,BBB,821981.51,3,Transport,UK,Yes,0.005,0.45,619998.6,619998.6046882408,619998.6046882408
L00067,AA,491309.58,10,Retail,France,Yes,0.0006,0.45,330265.26,330265.2586141375,330265.2586141375
L00068,B,345995.8,2,Retail,Brazil,Yes,0.05,0.45,497782.1,497782.1001999571,497782.1001999571
L00069,AA,662357.88,2,Transport,UK,Yes,0.0006,0.45,125194.75,125194.74760419058,125194.74760419058
L00070,CCC,271910.13,7,Healthcare,China,Yes,0.2,0.45,772300.46,772300.4614139338,772300.4614139338
L00071,BB,561394.35,9,Transport,USA,Yes,0.018,0.45,1092055.39,1092055.388511752,1092055.388511752
L00072,A,569625.88,10,Transport,China,Yes,0.002,0.45,645040.13,645040.1322609162,645040.1322609162
L00073,AAA,751709.3,2,Transport,France,Yes,0.0003,0.45,91373.71,91373.70582775821,91373.70582775821
L00074,B,1758250.82,7,Healthcare,China,No,0.05,0.45,5969831.23,3581898.736782543,0.0
L00075,BB,538319.74,7,Finance,Brazil,No,0.018,0.45,1515980.82,909588.4893136608,909588.4893136608
L00076,BB,343011.13,7,Energy,France,Yes,0.018,0.45,579579.3,579579.2952985,579579.2952985
L00077,BB,436792.2,3,Retail,Germany,Yes,0.018,0.45,514773.32,514773.31754261546,514773.31754261546
L00078,AA,182674.66,7,Real Estate,Italy,Yes,0.0006,0.45,89695.82,89695.81719972883,89695.81719972883
L00079,BBB,312588.66,1,Retail,Germany,No,0.005,0.75,271769.75,271769.751720628,271769.751720628
L00080,AA,360540.21,10,Retail,Brazil,Yes,0.0006,0.45,242360.24,242360.23587499646,242360.23587499646
L00081,B,340426.94,1,Healthcare,Italy,No,0.05,0.75,748368.48,748368.4761284393,748368.4761284393
L00082,BB,477432.2,5,Manufacturing,Germany,Yes,0.018,0.45,684688.41,684688.4098157426,684688.4098157426
L00083,A,293252.72,2,Transport,Italy,Yes,0.002,0.45,115164.74,115164.73823625303,115164.73823625303
L00084,AA,774920.2,9,Transport,UK,Yes,0.0006,0.45,474107.11,474107.11439421255,474107.11439421255
L00085,A,442459.2,7,Transport,China,Yes,0.002,0.45,378308.59,378308.5875825343,378308.5875825343
L00086,A,440360.87,4,Manufacturing,France,No,0.002,0.75,423945.97,423945.9715833173,423945.9715833173
L00087,BB,375514.6,4,Healthcare,Italy,Yes,0.018,0.45,490541.75,490541.7524656517,490541.7524656517
L00088,BB,478109.63,2,Energy,UK,Yes,0.018,0.45,502370.85,502370.8503356072,502370.8503356072
L00089,B,668337.88,5,Energy,China,Yes,0.05,0.45,1201534.01,1201534.0083448666,1201534.0083448666
L00090,BBB,286769.75,4,Healthcare,China,No,0.005,0.75,416095.64,416095.6436026692,416095.6436026692
L00091,AA,318361.16,1,Real Estate,USA,Yes,0.0006,0.45,40945.61,40945.606631224604,40945.606631224604
L00092,BB,380079.98,8,Energy,Germany,Yes,0.018,0.45,690783.22,690783.2243126486,690783.2243126486
L00093,BB,225723.15,3,Healthcare,USA,Yes,0.018,0.45,266021.82,266021.81717454985,266021.81717454985
L00094,BBB,293716.73,6,Energy,Brazil,Yes,0.005,0.45,324030.66,324030.66217856505,324030.66217856505
L00095,BB,348672.92,4,Transport,UK,No,0.018,0.75,759129.94,759129.9389074618,759129.9389074618
L00096,BBB,685014.02,9,Finance,USA,Yes,0.005,0.45,994738.27,994738.2672484952,994738.2672484952
L00097,BBB,504478.58,7,Healthcare,USA,Yes,0.005,0.45,615221.56,615221.5564505616,615221.5564505616
L00098,BBB,487377.84,9,Retail,China,Yes,0.005,0.45,707742.29,707742.2854161647,707742.2854161647
L00099,AAA,677015.18,10,Energy,UK,No,0.0003,0.75,550246.47,550246.4737904022,550246.4737904022
L00100,AA,413045.94,3,Energy,China,Yes,0.0006,0.45,103019.36,103019.35866695715,103019.35866695715
L00101,AAA,537794.84,1,Manufacturing,France,Yes,0.0003,0.45,40760.75,40760.753314385525,40760.753314385525
L00102,BB,420159.27,5,Real Estate,Italy,No,0.018,0.75,1004254.92,1004254.9233365603,1004254.9233365603
L00103,A,505185.6,3,Finance,Brazil,Yes,0.002,0.45,245103.27,245103.2664579679,245103.2664579679
L00104,BBB,330585.52,6,Manufacturing,Brazil,No,0.005,0.75,607841.01,607841.0137563795,607841.0137563795
L00105,B,130691.05,8,Transport,Germany,Yes,0.05,0.45,281886.8,281886.80403004796,281886.80403004796
L00106,A,413685.13,4,Retail,China,Yes,0.002,0.45,238958.76,238958.7581213848,238958.7581213848
L00107,BBB,901102.3,5,Real Estate,Italy,No,0.005,0.75,1482157.74,1482157.735705792,1482157.735705792
L00108,BB,702996.86,5,Manufacturing,Germany,No,0.018,0.45,1680286.76,1008172.0549616473,1008172.0549616473
L00109,A,716905.09,4,Healthcare,Brazil,Yes,0.002,0.45,414109.04,414109.0350462913,414109.0350462913
L00110,AA,820825.12,4,Energy,Italy,No,0.0006,0.75,423838.32,423838.3238190575,423838.3238190575
L00111,A,462466.22,4,Energy,USA,Yes,0.002,0.45,267136.39,267136.39333444525,267136.39333444525
L00112,A,488286.62,4,Real Estate,France,No,0.002,0.75,470085.24,470085.24060512934,470085.24060512934
L00113,B,324867.94,4,Energy,USA,Yes,0.05,0.45,545159.0,545159.0043509988,545159.0043509988
L00114,B,377740.82,5,Healthcare,France,Yes,0.05,0.45,679100.28,679100.2801907274,679100.2801907274
L00115,BB,601923.46,2,Manufacturing,China,No,0.018,0.75,1054112.49,1054112.4931156856,1054112.4931156856
L00116,B,807696.96,2,Manufacturing,UK,No,0.05,0.45,1936714.69,1162028.813858205,1162028.813858205
L00117,B,412617.73,9,Energy,Germany,Yes,0.05,0.45,939363.27,939363.2746514995,939363.2746514995
L00118,A,353240.84,2,Energy,Germany,Yes,0.002,0.45,138722.97,138722.97202547395,138722.97202547395
L00119,B,442530.2,6,Transport,UK,Yes,0.05,0.45,848549.15,848549.1522291976,848549.1522291976
L00120,BBB,597556.06,2,Retail,Italy,Yes,0.005,0.45,381217.79,381217.79072800145,381217.79072800145
L00121,B,214931.06,5,Real Estate,UK,Yes,0.05,0.45,386401.83,386401.82723087765,386401.82723087765
L00122,B,140352.1,4,Manufacturing,China,Yes,0.05,0.45,235524.04,235524.04430727087,235524.04430727087
L00123,A,335954.69,7,Real Estate,Brazil,Yes,0.002,0.45,287245.79,287245.79411079746,287245.79411079746
L00124,AA,240300.09,7,Transport,UK,No,0.0006,0.75,196651.18,196651.18436713648,196651.18436713648
L00125,A,343152.39,6,Manufacturing,France,Yes,0.002,0.45,261672.16,261672.1571049509,261672.1571049509
L00126,BBB,410901.93,10,Transport,Brazil,Yes,0.005,0.45,644481.0,644481.0048048189,644481.0048048189
L00127,B,352700.94,5,Transport,UK,Yes,0.05,0.45,634083.73,634083.7275080119,634083.7275080119
L00128,B,914592.39,1,Finance,Germany,No,0.05,0.45,2010569.77,1206341.8597534625,1206341.8597534625
L00129,AAA,520930.74,3,Energy,USA,Yes,0.0003,0.45,87160.45,87160.44830891083,87160.44830891083
L00130,BBB,514132.96,9,Healthcare,France,Yes,0.005,0.45,746594.54,746594.543810563,746594.543810563
L00131,BBB,603863.57,1,Finance,China,No,0.005,0.75,525008.98,525008.9766277256,525008.9766277256
L00132,A,250342.04,5,Real Estate,France,No,0.002,0.75,279587.87,279587.8702903349,279587.8702903349
L00133,AA,743821.15,2,Healthcare,Italy,No,0.0006,0.75,234320.71,234320.70976722526,234320.70976722526
L00134,A,425967.3,4,Real Estate,USA,No,0.002,0.75,410088.94,410088.93651523214,410088.93651523214
L00135,B,618616.19,1,Energy,France,No,0.05,0.75,1359918.39,1359918.387829944,1359918.387829944
L00136,A,258867.44,3,Healthcare,UK,No,0.002,0.75,209326.55,209326.54956782886,209326.54956782886
L00137,BBB,203438.82,10,Finance,France,Yes,0.005,0.45,319084.54,319084.5444067558,319084.5444067558
L00138,BB,665933.32,7,Real Estate,France,Yes,0.018,0.45,1125214.7,1125214.6958653803,1125214.6958653803
L00139,BBB,534028.65,10,Finance,France,Yes,0.005,0.45,837599.67,837599.6699420734,837599.6699420734
L00140,CCC,281806.01,3,Energy,Italy,Yes,0.2,0.45,685690.57,685690.5740649577,685690.5740649577
L00141,CCC,286406.8,4,Healthcare,France,Yes,0.2,0.45,726032.67,726032.6744735799,726032.6744735799
L00142,A,776628.5,2,Healthcare,France,Yes,0.002,0.45,304993.65,304993.6515825458,304993.6515825458
L00143,BBB,244090.43,3,Manufacturing,Italy,No,0.005,0.75,306851.44,306851.44003979827,306851.44003979827
L00144,A,1005842.92,9,Transport,Brazil,Yes,0.002,0.45,1046009.14,1046009.1446691694,1046009.1446691694
L00145,A,282007.69,3,Transport,USA,Yes,0.002,0.45,136822.99,136822.99334198365,136822.99334198365
L00146,AAA,608770.09,5,Finance,China,No,0.0003,0.75,262624.59,262624.5872259768,262624.5872259768
L00147,BB,375378.74,2,Healthcare,Brazil,Yes,0.018,0.45,394426.98,394426.9786235195,394426.9786235195
L00148,BBB,598148.13,4,Real Estate,Germany,Yes,0.005,0.45,520738.67,520738.67161110905,520738.67161110905
L00149,AA,337035.32,7,Finance,Italy,Yes,0.0006,0.45,165489.06,165489.0637408172,165489.0637408172
L00150,A,407829.12,7,Finance,Italy,No,0.002,0.75,581165.67,581165.6696716439,581165.6696716439
L00151,B,451558.22,3,Retail,France,Yes,0.05,0.45,703705.68,703705.6770041918,703705.6770041918
L00152,A,268043.96,5,Healthcare,France,No,0.002,0.75,299357.79,299357.7903279358,299357.7903279358
L00153,AA,640761.23,1,Transport,China,Yes,0.0006,0.45,82410.67,82410.67242034059,82410.67242034059
L00154,BBB,342283.02,10,Healthcare,Germany,Yes,0.005,0.45,536855.36,536855.3626828375,536855.3626828375
L00155,CCC,394628.48,10,Energy,France,Yes,0.2,0.45,1241338.08,1241338.0761162566,1241338.0761162566
L00156,A,269096.5,10,Finance,UK,No,0.002,0.75,507871.48,507871.47624843876,507871.47624843876
L00157,BB,122863.98,1,Retail,France,No,0.018,0.75,188996.89,188996.89293251353,188996.89293251353
L00158,BB,402112.07,5,Retail,France,No,0.018,0.75,961118.93,961118.9252841085,961118.9252841085
L00159,A,1478158.64,10,Transport,UK,No,0.002,0.45,2789759.85,1673855.9081062397,0.0
L00160,BB,654942.12,9,Transport,Germany,Yes,0.018,0.45,1274029.69,1274029.6928697457,1274029.6928697457
L00161,BBB,438173.32,1,Transport,UK,No,0.005,0.75,380955.13,380955.13249585987,380955.13249585987
L00162,BB,387920.07,1,Energy,Italy,Yes,0.018,0.45,358033.43,358033.43471127906,358033.43471127906
L00163,BB,447411.01,4,Retail,UK,No,0.018,0.75,974102.3,974102.2981877279,974102.2981877279
L00164,BBB,581612.42,4,Real Estate,USA,Yes,0.005,0.45,506342.93,506342.93378685723,506342.93378685723
L00165,AA,245142.17,2,Energy,Italy,Yes,0.0006,0.45,46335.24,46335.241154364434,46335.241154364434
L00166,B,772325.09,9,Manufacturing,France,Yes,0.05,0.45,1758271.09,1758271.0894122608,0.0
L00167,A,632661.41,9,Finance,China,Yes,0.002,0.45,657925.41,657925.4147747947,657925.4147747947
L00168,A,633549.15,2,Transport,Italy,Yes,0.002,0.45,248804.25,248804.24645183384,248804.24645183384
L00169,AAA,550861.05,9,Retail,Germany,No,0.0003,0.75,405699.91,405699.91119364306,405699.91119364306
L00170,BBB,446774.08,6,Finance,Germany,Yes,0.005,0.45,492884.76,492884.76344748633,492884.76344748633
L00171,BB,619352.97,8,Healthcare,UK,Yes,0.018,0.45,1125654.24,1125654.2415209955,1125654.2415209955
L00172,AAA,594756.33,10,Energy,Italy,No,0.0003,0.75,483390.3,483390.3035187789,483390.3035187789
L00173,BBB,370637.45,4,Manufacturing,France,Yes,0.005,0.45,322671.33,322671.3312007326,322671.3312007326
L00174,A,332102.56,2,Healthcare,Germany,No,0.002,0.75,217369.42,217369.42110312183,217369.42110312183
L00175,BB,465528.29,2,Energy,Brazil,Yes,0.018,0.45,489151.08,489151.0821536498,489151.0821536498
L00176,A,959828.67,9,Energy,France,No,0.002,0.45,1663595.69,998157.4122285878,998157.4122285878
L00177,BB,238100.1,1,Real Estate,Brazil,Yes,0.018,0.45,219756.09,219756.0868869172,219756.0868869172
L00178,BBB,212402.29,7,Finance,USA,Yes,0.005,0.45,259028.77,259028.7727329544,259028.7727329544
L00179,B,480402.91,3,Real Estate,Brazil,Yes,0.05,0.45,748657.07,748657.072428742,748657.072428742
L00180,AA,453814.52,3,Energy,Germany,Yes,0.0006,0.45,113187.61,113187.60524350632,113187.60524350632
L00181,A,482468.46,2,Manufacturing,UK,No,0.002,0.75,315787.66,315787.65863989334,315787.65863989334
L00182,AA,499806.65,10,Retail,USA,Yes,0.0006,0.45,335977.11,335977.1094211428,335977.1094211428
L00183,B,395694.95,6,Retail,Italy,Yes,0.05,0.45,758742.83,758742.8256057433,758742.8256057433
L00184,B,931854.27,10,Healthcare,France,Yes,0.05,0.45,2232997.37,2232997.3728054524,0.0
L00185,A,198699.32,2,Finance,Germany,No,0.002,0.75,130053.67,130053.66824629102,130053.66824629102
L00186,BB,292363.01,10,Transport,USA,Yes,0.018,0.45,606081.01,606081.0125510016,606081.0125510016
L00187,B,420152.33,4,Transport,USA,No,0.05,0.75,1175091.98,1175091.9768534885,1175091.9768534885
L00188,BBB,194542.44,10,Retail,Germany,Yes,0.005,0.45,305130.98,305130.97665027075,305130.97665027075
L00189,BBB,405174.37,9,Energy,Italy,Yes,0.005,0.45,588371.1,588371.0974956405,588371.0974956405
L00190,A,1015341.01,9,Energy,Italy,Yes,0.002,0.45,1055886.52,1055886.5209466608,1055886.5209466608
L00191,AA,447057.83,6,Real Estate,UK,No,0.0006,0.75,320848.9,320848.90248132474,320848.90248132474
L00192,B,496505.8,4,Finance,China,No,0.05,0.75,1388639.17,1388639.1681826985,1388639.1681826985
L00193,B,235606.33,7,Real Estate,Brazil,Yes,0.05,0.45,479975.9,479975.8977532971,479975.8977532971
L00194,BB,325077.63,1,Transport,Italy,Yes,0.018,0.45,300032.58,300032.5825284119,300032.5825284119
L00195,A,366737.57,4,Retail,UK,No,0.002,0.75,353067.05,353067.0548220028,353067.0548220028
L00196,A,377430.77,5,Healthcare,Brazil,Yes,0.002,0.45,252914.13,252914.12940393365,252914.12940393365
L00197,BB,839718.42,8,Energy,USA,Yes,0.018,0.45,1526161.41,1526161.4086654156,0.0
L00198,B,584694.95,2,Retail,Germany,Yes,0.05,0.45,841197.15,841197.1480211866,841197.1480211866
L00199,B,253792.18,5,Manufacturing,Italy,Yes,0.05,0.45,456266.13,456266.12593316106,456266.12593316106
L00200,BB,500444.7,6,Retail,UK,Yes,0.018,0.45,781641.27,781641.2698331521,781641.2698331521
L00201,BB,567565.18,5,Manufacturing,USA,Yes,0.018,0.45,813948.66,813948.6623671083,813948.6623671083
L00202,AA,782363.32,9,Real Estate,Italy,Yes,0.0006,0.45,478660.92,478660.92025098315,478660.92025098315
L00203,A,975075.66,10,Real Estate,France,No,0.002,0.45,1840280.77,1104168.463502396,1104168.463502396
L00204,B,266319.74,1,Transport,China,Yes,0.05,0.45,351274.13,351274.134743958,351274.134743958
L00205,BB,294952.98,3,Retail,USA,No,0.018,0.75,579352.24,579352.2413086463,579352.2413086463
L00206,AAA,235911.28,2,Retail,Italy,Yes,0.0003,0.45,28676.1,28676.095799493098,28676.095799493098
L00207,AA,393560.49,3,Manufacturing,USA,No,0.0006,0.75,163599.03,163599.0308021322,163599.0308021322
L00208,BB,558594.56,10,Real Estate,Germany,Yes,0.018,0.45,1157990.39,1157990.3919113476,1157990.3919113476
L00209,AAA,724811.76,9,Manufacturing,Germany,No,0.0003,0.75,533811.69,533811.6874738341,533811.6874738341
L00210,A,425927.53,9,Real Estate,China,Yes,0.002,0.45,442936.05,442936.05143271474,442936.05143271474
L00211,BBB,377028.57,10,Manufacturing,Germany,No,0.005,0.75,985586.96,985586.9648901542,985586.9648901542
L00212,BB,477289.73,2,Real Estate,Brazil,Yes,0.018,0.45,501509.35,501509.34528667066,501509.34528667066
L00213,BB,291393.12,3,Manufacturing,France,Yes,0.018,0.45,343415.94,343415.9380398584,343415.9380398584
L00214,A,1257667.48,4,Healthcare,Germany,No,0.002,0.75,1210786.65,1210786.6480901046,1210786.6480901046
L00215,BB,198029.14,9,Real Estate,France,Yes,0.018,0.45,385217.25,385217.2531115572,385217.2531115572
L00216,A,485226.12,3,Finance,Germany,Yes,0.002,0.45,235419.43,235419.43195278314,235419.43195278314
L00217,A,1216882.85,7,Manufacturing,Brazil,No,0.002,0.45,1734085.43,1040451.2602222058,1040451.2602222058
L00218,BB,443920.12,3,Retail,USA,Yes,0.018,0.45,523173.79,523173.7949906522,523173.7949906522
L00219,BB,402310.91,7,Transport,Italy,Yes,0.018,0.45,679776.99,679776.9906437095,679776.9906437095
L00220,B,370007.03,7,Finance,Italy,No,0.05,0.75,1256293.75,1256293.75350598,1256293.75350598
L00221,BB,404256.22,9,Finance,Germany,Yes,0.018,0.45,786381.59,786381.5932425972,786381.5932425972
L00222,BBB,878898.1,2,Manufacturing,Italy,No,0.005,0.75,934505.32,934505.3247864255,934505.3247864255
L00223,AA,146395.78,6,Transport,Germany,Yes,0.0006,0.45,63040.07,63040.06621366744,63040.06621366744
L00224,BBB,952377.58,9,Retail,Germany,No,0.005,0.45,2304980.62,1382988.3710927772,1382988.3710927772
L00225,A,217080.04,2,Finance,China,Yes,0.002,0.45,85250.59,85250.58517075423,85250.58517075423
L00226,A,387191.17,2,Retail,UK,No,0.002,0.75,253426.29,253426.2924053956,253426.2924053956
L00227,CCC,356959.56,5,Real Estate,UK,Yes,0.2,0.45,941209.38,941209.3803729749,941209.3803729749
L00228,BBB,593787.41,10,Healthcare,China,Yes,0.005,0.45,931328.57,931328.5694161889,931328.5694161889
L00229,B,198975.67,10,Transport,UK,No,0.05,0.75,794673.88,794673.8788569816,794673.8788569816
L00230,BB,557426.72,10,Healthcare,France,Yes,0.018,0.45,1155569.41,1155569.4096889466,1155569.4096889466
L00231,BB,1217310.91,8,Energy,UK,No,0.018,0.45,3687372.83,2212423.699350764,0.0
L00232,BBB,223778.72,9,Real Estate,Germany,No,0.005,0.75,541597.81,541597.810849395,541597.810849395
L00233,BBB,486432.33,2,Transport,Brazil,Yes,0.005,0.45,310325.12,310325.12360643473,310325.12360643473
L00234,BBB,317746.42,5,Manufacturing,Brazil,No,0.005,0.75,522638.01,522638.0116839359,522638.0116839359
L00235,A,547404.67,7,Healthcare,USA,Yes,0.002,0.45,468038.38,468038.3808129276,468038.3808129276
L00236,BB,446669.35,6,Manufacturing,UK,Yes,0.018,0.45,697649.91,697649.9060326718,697649.9060326718
L00237,A,321019.31,6,Retail,Brazil,Yes,0.002,0.45,244794.49,244794.49296577222,244794.49296577222
L00238,AAA,564635.77,7,Finance,UK,No,0.0003,0.75,329714.86,329714.85892180103,329714.85892180103
L00239,BB,1090529.65,3,Healthcare,USA,Yes,0.018,0.45,1285223.42,1285223.421592893,1285223.421592893
L00240,A,402137.0,3,Energy,Brazil,No,0.002,0.75,325177.82,325177.82330430584,325177.82330430584
L00241,B,634047.39,10,Manufacturing,Germany,Yes,0.05,0.45,1519364.35,1519364.348788308,0.0
L00242,CCC,231738.19,9,Transport,France,No,0.2,0.75,1175614.49,1175614.4888346803,1175614.4888346803
L00243,B,274246.28,8,Healthcare,China,Yes,0.05,0.45,591520.29,591520.2868622578,591520.2868622578
L00244,BBB,560286.28,5,Healthcare,China,No,0.005,0.75,921574.21,921574.2142837959,921574.2142837959
L00245,AAA,929180.24,6,Finance,China,Yes,0.0003,0.45,283031.41,283031.4099457787,283031.4099457787
L00246,B,528504.54,10,Finance,UK,Yes,0.05,0.45,1266452.59,1266452.5852693194,1266452.5852693194
L00247,BBB,378310.66,1,Transport,Brazil,Yes,0.005,0.45,197345.73,197345.7274006042,197345.7274006042
L00248,CCC,442256.67,10,Finance,Brazil,No,0.2,0.45,2318594.46,1391156.6744685587,1391156.6744685587
L00249,CCC,236758.55,1,Manufacturing,USA,Yes,0.2,0.45,527891.5,527891.5014075157,527891.5014075157
L00250,B,598545.4,4,Transport,Germany,No,0.05,0.45,1674025.94,1004415.561359703,1004415.561359703
L00251,A,687740.27,2,Transport,Italy,Yes,0.002,0.45,270085.91,270085.9114591674,270085.9114591674
L00252,BBB,352905.23,7,Retail,Brazil,No,0.005,0.75,717291.46,717291.4552690006,717291.4552690006
L00253,B,349751.76,2,Energy,France,Yes,0.05,0.45,503185.78,503185.7775193553,503185.7775193553
