Loan ID,Rating,PD,EAD,LGD,Maturity,Sector,Country,Secured,RWA,RWA_after_CDS,RWA_final
L00133,AA,0.0006,743821.15,0.75,2,Healthcare,Italy,No,234320.71,234320.71,234320.71
L00134,A,0.002,425967.3,0.75,4,Real Estate,USA,No,410088.94,410088.94,410088.94
L00135,B,0.05,618616.19,0.75,1,Energy,France,No,1359918.39,1359918.39,1359918.39
L00136,A,0.002,258867.44,0.75,3,Healthcare,UK,No,209326.55,209326.55,209326.55
L00137,BBB,0.005,203438.82,0.45,10,Finance,France,Yes,319084.54,319084.54,319084.54
L00138,BB,0.018,665933.32,0.45,7,Real Estate,France,Yes,1125214.7,1125214.7,1125214.7
L00139,BBB,0.005,534028.65,0.45,10,Finance,France,Yes,837599.67,837599.67,837599.67
L00140,CCC,0.2,281806.01,0.45,3,Energy,Italy,Yes,685690.57,685690.57,685690.57
L00141,CCC,0.2,286406.8,0.45,4,Healthcare,France,Yes,726032.67,726032.67,726032.67
L00142,A,0.002,776628.5,0.45,2,Healthcare,France,Yes,304993.65,304993.65,304993.65
L00143,BBB,0.005,244090.43,0.75,3,Manufacturing,Italy,No,306851.44,306851.44,306851.44
L00144,A,0.002,1005842.92,0.45,9,Transport,Brazil,Yes,1046009.14,1046009.14,1046009.14
L00145,A,0.002,282007.69,0.45,3,Transport,USA,Yes,136822.99,136822.99,136822.99
L00146,AAA,0.0003,608770.09,0.75,5,Finance,China,No,262624.59,262624.59,262624.59
L00147,BB,0.018,375378.74,0.45,2,Healthcare,Brazil,Yes,394426.98,394426.98,394426.98
L00148,BBB,0.005,598148.13,0.45,4,Real Estate,Germany,Yes,520738.67,520738.67,520738.67
L00149,AA,0.0006,337035.32,0.45,7,Finance,Italy,Yes,165489.06,165489.06,165489.06
L00150,A,0.002,407829.12,0.75,7,Finance,Italy,No,581165.67,581165.67,581165.67
L00151,B,0.05,451558.22,0.45,3,Retail,France,Yes,703705.68,703705.68,703705.68
L00152,A,0.002,268043.96,0.75,5,Healthcare,France,No,299357.79,299357.79,299357.79
L00153,AA,0.0006,640761.23,0.45,1,Transport,China,Yes,82410.67,82410.67,82410.67
L00154,BBB,0.005,342283.02,0.45,10,Healthcare,Germany,Yes,536855.36,536855.36,536855.36
L00155,CCC,0.2,394628.48,0.45,10,Energy,France,Yes,1241338.08,1241338.08,1241338.08
L00156,A,0.002,269096.5,0.75,10,Finance,UK,No,507871.48,507871.48,507871.48
L00157,BB,0.018,122863.98,0.75,1,Retail,France,No,188996.89,188996.89,188996.89
L00158,BB,0.018,402112.07,0.75,5,Retail,France,No,961118.93,961118.93,961118.93
L00159,A,0.002,1478158.64,0.45,10,Transport,UK,No,2789759.85,1673855.91,0.0
L00160,BB,0.018,654942.12,0.45,9,Transport,Germany,Yes,1274029.69,1274029.69,1274029.69
L00161,BBB,0.005,438173.32,0.75,1,Transport,UK,No,380955.13,380955.13,380955.13
L00162,BB,0.018,387920.07,0.45,1,Energy,Italy,Yes,358033.43,358033.43,358033.43
L00163,BB,0.018,447411.01,0.75,4,Retail,UK,No,974102.3,974102.3,974102.3
L00164,BBB,0.005,581612.42,0.45,4,Real Estate,USA,Yes,506342.93,506342.93,506342.93
L00165,AA,0.0006,245142.17,0.45,2,Energy,Italy,Yes,46335.24,46335.24,46335.24
L00166,B,0.05,772325.09,0.45,9,Manufacturing,France,Yes,1758271.09,1758271.09,0.0
L00167,A,0.002,632661.41,0.45,9,Finance,China,Yes,657925.41,657925.41,657925.41
L00168,A,0.002,633549.15,0.45,2,Transport,Italy,Yes,248804.25,248804.25,248804.25
L00169,AAA,0.0003,550861.05,0.75,9,Retail,Germany,No,405699.91,405699.91,405699.91
L00170,BBB,0.005,446774.08,0.45,6,Finance,Germany,Yes,492884.76,492884.76,492884.76
L00171,BB,0.018,619352.97,0.45,8,Healthcare,UK,Yes,1125654.24,1125654.24,1125654.24
L00172,AAA,0.0003,594756.33,0.75,10,Energy,Italy,No,483390.3,483390.3,483390.3
L00173,BBB,0.005,370637.45,0.45,4,Manufacturing,France,Yes,322671.33,322671.33,322671.33
L00174,A,0.002,332102.56,0.75,2,Healthcare,Germany,No,217369.42,217369.42,217369.42
L00175,BB,0.018,465528.29,0.45,2,Energy,Brazil,Yes,489151.08,489151.08,489151.08
L00176,A,0.002,959828.67,0.45,9,Energy,France,No,1663595.69,998157.41,998157.41
L00177,BB,0.018,238100.1,0.45,1,Real Estate,Brazil,Yes,219756.09,219756.09,219756.09
L00178,BBB,0.005,212402.29,0.45,7,Finance,USA,Yes,259028.77,259028.77,259028.77
L00179,B,0.05,480402.91,0.45,3,Real Estate,Brazil,Yes,748657.07,748657.07,748657.07
L00180,AA,0.0006,453814.52,0.45,3,Energy,Germany,Yes,113187.61,113187.61,113187.61
L00181,A,0.002,482468.46,0.75,2,Manufacturing,UK,No,315787.66,315787.66,315787.66
L00182,AA,0.0006,499806.65,0.45,10,Retail,USA,Yes,335977.11,335977.11,335977.11
L00183,B,0.05,395694.95,0.45,6,Retail,Italy,Yes,758742.83,758742.83,758742.83
L00184,B,0.05,931854.27,0.45,10,Healthcare,France,Yes,2232997.37,2232997.37,0.0
L00185,A,0.002,198699.32,0.75,2,Finance,Germany,No,130053.67,130053.67,130053.67
L00186,BB,0.018,292363.01,0.45,10,Transport,USA,Yes,606081.01,606081.01,606081.01
L00187,B,0.05,420152.33,0.75,4,Transport,USA,No,1175091.98,1175091.98,1175091.98
L00188,BBB,0.005,194542.44,0.45,10,Retail,Germany,Yes,305130.98,305130.98,305130.98
L00189,BBB,0.005,405174.37,0.45,9,Energy,Italy,Yes,588371.1,588371.1,588371.1
L00190,A,0.002,1015341.01,0.45,9,Energy,Italy,Yes,1055886.52,1055886.52,1055886.52
L00191,AA,0.0006,447057.83,0.75,6,Real Estate,UK,No,320848.9,320848.9,320848.9
L00192,B,0.05,496505.8,0.75,4,Finance,China,No,1388639.17,1388639.17,1388639.17
L00193,B,0.05,235606.33,0.45,7,Real Estate,Brazil,Yes,479975.9,479975.9,479975.9
L00194,BB,0.018,325077.63,0.45,1,Transport,Italy,Yes,300032.58,300032.58,300032.58
L00195,A,0.002,366737.57,0.75,4,Retail,UK,No,353067.05,353067.05,353067.05
L00196,A,0.002,377430.77,0.45,5,Healthcare,Brazil,Yes,252914.13,252914.13,252914.13
L00197,BB,0.018,839718.42,0.45,8,Energy,USA,Yes,1526161.41,1526161.41,0.0
L00198,B,0.05,584694.95,0.45,2,Retail,Germany,Yes,841197.15,841197.15,841197.15
L00199,B,0.05,253792.18,0.45,5,Manufacturing,Italy,Yes,456266.13,456266.13,456266.13
L00200,BB,0.018,500444.7,0.45,6,Retail,UK,Yes,781641.27,781641.27,781641.27
L00201,BB,0.018,567565.18,0.45,5,Manufacturing,USA,Yes,813948.66,813948.66,813948.66
L00202,AA,0.0006,782363.32,0.45,9,Real Estate,Italy,Yes,478660.92,478660.92,478660.92
L00203,A,0.002,975075.66,0.45,10,Real Estate,France,No,1840280.77,1104168.46,1104168.46
L00204,B,0.05,266319.74,0.45,1,Transport,China,Yes,351274.13,351274.13,351274.13
L00205,BB,0.018,294952.98,0.75,3,Retail,USA,No,579352.24,579352.24,579352.24
L00206,AAA,0.0003,235911.28,0.45,2,Retail,Italy,Yes,28676.1,28676.1,28676.1
L00207,AA,0.0006,393560.49,0.75,3,Manufacturing,USA,No,163599.03,163599.03,163599.03
L00208,BB,0.018,558594.56,0.45,10,Real Estate,Germany,Yes,1157990.39,1157990.39,1157990.39
L00209,AAA,0.0003,724811.76,0.75,9,Manufacturing,Germany,No,533811.69,533811.69,533811.69
L00210,A,0.002,425927.53,0.45,9,Real Estate,China,Yes,442936.05,442936.05,442936.05
L00211,BBB,0.005,377028.57,0.75,10,Manufacturing,Germany,No,985586.96,985586.96,985586.96
L00212,BB,0.018,477289.73,0.45,2,Real Estate,Brazil,Yes,501509.35,501509.35,501509.35
L00213,BB,0.018,291393.12,0.45,3,Manufacturing,France,Yes,343415.94,343415.94,343415.94
L00214,A,0.002,1257667.48,0.75,4,Healthcare,Germany,No,1210786.65,1210786.65,1210786.65
L00215,BB,0.018,198029.14,0.45,9,Real Estate,France,Yes,385217.25,385217.25,385217.25
L00216,A,0.002,485226.12,0.45,3,Finance,Germany,Yes,235419.43,235419.43,235419.43
L00217,A,0.002,1216882.85,0.45,7,Manufacturing,Brazil,No,1734085.43,1040451.26,1040451.26
L00218,BB,0.018,443920.12,0.45,3,Retail,USA,Yes,523173.79,523173.79,523173.79
L00219,BB,0.018,402310.91,0.45,7,Transport,Italy,Yes,679776.99,679776.99,679776.99
L00220,B,0.05,370007.03,0.75,7,Finance,Italy,No,1256293.75,1256293.75,1256293.75
L00221,BB,0.018,404256.22,0.45,9,Finance,Germany,Yes,786381.59,786381.59,786381.59
L00222,BBB,0.005,878898.1,0.75,2,Manufacturing,Italy,No,934505.32,934505.32,934505.32
L00223,AA,0.0006,146395.78,0.45,6,Transport,Germany,Yes,63040.07,63040.07,63040.07
L00224,BBB,0.005,952377.58,0.45,9,Retail,Germany,No,2304980.62,1382988.37,1382988.37
L00225,A,0.002,217080.04,0.45,2,Finance,China,Yes,85250.59,85250.59,85250.59
L00226,A,0.002,387191.17,0.75,2,Retail,UK,No,253426.29,253426.29,253426.29
L00227,CCC,0.2,356959.56,0.45,5,Real Estate,UK,Yes,941209.38,941209.38,941209.38
L00228,BBB,0.005,593787.41,0.45,10,Healthcare,China,Yes,931328.57,931328.57,931328.57
L00229,B,0.05,198975.67,0.75,10,Transport,UK,No,794673.88,794673.88,794673.88
L00230,BB,0.018,557426.72,0.45,10,Healthcare,France,Yes,1155569.41,1155569.41,1155569.41
L00231,BB,0.018,1217310.91,0.45,8,Energy,UK,No,3687372.83,2212423.7,0.0
L00232,BBB,0.005,223778.72,0.75,9,Real Estate,Germany,No,541597.81,541597.81,541597.81
L00233,BBB,0.005,486432.33,0.45,2,Transport,Brazil,Yes,310325.12,310325.12,310325.12
L00234,BBB,0.005,317746.42,0.75,5,Manufacturing,Brazil,No,522638.01,522638.01,522638.01
L00235,A,0.002,547404.67,0.45,7,Healthcare,USA,Yes,468038.38,468038.38,468038.38
L00236,BB,0.018,446669.35,0.45,6,Manufacturing,UK,Yes,697649.91,697649.91,697649.91
L00237,A,0.002,321019.31,0.45,6,Retail,Brazil,Yes,244794.49,244794.49,244794.49
L00238,AAA,0.0003,564635.77,0.75,7,Finance,UK,No,329714.86,329714.86,329714.86
L00239,BB,0.018,1090529.65,0.45,3,Healthcare,USA,Yes,1285223.42,1285223.42,1285223.42
L00240,A,0.002,402137.0,0.75,3,Energy,Brazil,No,325177.82,325177.82,325177.82
L00241,B,0.05,634047.39,0.45,10,Manufacturing,Germany,Yes,1519364.35,1519364.35,0.0
L00242,CCC,0.2,231738.19,0.75,9,Transport,France,No,1175614.49,1175614.49,1175614.49
L00243,B,0.05,274246.28,0.45,8,Healthcare,China,Yes,591520.29,591520.29,591520.29
L00244,BBB,0.005,560286.28,0.75,5,Healthcare,China,No,921574.21,921574.21,921574.21
L00245,AAA,0.0003,929180.24,0.45,6,Finance,China,Yes,283031.41,283031.41,283031.41
L00246,B,0.05,528504.54,0.45,10,Finance,UK,Yes,1266452.59,1266452.59,1266452.59
L00247,BBB,0.005,378310.66,0.45,1,Transport,Brazil,Yes,197345.73,197345.73,197345.73
L00248,CCC,0.2,442256.67,0.45,10,Finance,Brazil,No,2318594.46,1391156.67,1391156.67
L00249,CCC,0.2,236758.55,0.45,1,Manufacturing,USA,Yes,527891.5,527891.5,527891.5
L00250,B,0.05,598545.4,0.45,4,Transport,Germany,No,1674025.94,1004415.56,1004415.56
L00251,A,0.002,687740.27,0.45,2,Transport,Italy,Yes,270085.91,270085.91,270085.91
L00252,BBB,0.005,352905.23,0.75,7,Retail,Brazil,No,717291.46,717291.46,717291.46
L00253,B,0.05,349751.76,0.45,2,Energy,France,Yes,503185.78,503185.78,503185.78
L00254,A,0.002,505315.93,0.45,10,Healthcare,USA,Yes,572216.02,572216.02,572216.02
L00255,A,0.002,355627.86,0.45,2,Retail,Brazil,Yes,139660.39,139660.39,139660.39
L00256,BBB,0.005,428023.63,0.45,5,Energy,Brazil,Yes,422414.99,422414.99,422414.99
L00257,B,0.05,1264087.27,0.45,4,Transport,USA,Yes,2121257.51,2121257.51,0.0
L00258,BB,0.018,391009.51,0.75,8,Healthcare,USA,No,1184412.16,1184412.16,1184412.16
L00259,BBB,0.005,369841.54,0.75,4,Finance,UK,No,536630.71,536630.71,536630.71
L00260,AA,0.0006,320048.91,0.75,6,Energy,Brazil,No,229695.88,229695.88,229695.88
L00261,BB,0.018,641841.06,0.45,5,Transport,Italy,Yes,920468.15,920468.15,920468.15
L00262,CCC,0.2,404087.98,0.45,2,Transport,France,Yes,942103.35,942103.35,942103.35
L00263,AA,0.0006,319756.0,0.75,8,Retail,Germany,No,293863.26,293863.26,293863.26
L00264,BBB,0.005,856536.33,0.45,2,Retail,Germany,Yes,546437.25,546437.25,546437.25
L00265,B,0.05,899686.37,0.45,9,Finance,Italy,No,3413701.81,2048221.09,0.0
L00266,BB,0.018,327678.5,0.45,9,Real Estate,USA,Yes,637418.37,637418.37,637418.37
L00267,BB,0.018,173985.98,0.75,3,Manufacturing,USA,No,341746.56,341746.56,341746.56
L00268,BB,0.018,732161.83,0.45,4,Real Estate,USA,Yes,956436.71,956436.71,956436.71
L00269,BBB,0.005,314168.61,0.75,8,Real Estate,Brazil,No,699460.44,699460.44,699460.44
L00270,A,0.002,656916.9,0.45,9,Healthcare,USA,Yes,683149.5,683149.5,683149.5
L00271,B,0.05,165205.94,0.75,3,Healthcare,USA,No,429093.28,429093.28,429093.28
L00272,B,0.05,691278.92,0.45,5,Finance,Brazil,Yes,1242777.28,1242777.28,1242777.28
L00273,B,0.05,241449.12,0.75,8,Healthcare,Brazil,No,867967.12,867967.12,867967.12
L00274,B,0.05,637546.22,0.45,3,Energy,Italy,No,1655913.81,993548.28,993548.28
L00275,BBB,0.005,445581.98,0.45,7,Finance,UK,Yes,543395.99,543395.99,543395.99
L00276,BBB,0.005,274588.88,0.45,8,Finance,Brazil,Yes,366804.42,366804.42,366804.42
L00277,BB,0.018,360945.35,0.45,10,Transport,France,Yes,748255.13,748255.13,748255.13
L00278,BB,0.018,623534.41,0.45,3,Transport,USA,Yes,734854.87,734854.87,734854.87
L00279,BB,0.018,466469.18,0.45,2,Transport,UK,Yes,490139.72,490139.72,490139.72
L00280,BB,0.018,592559.45,0.45,10,Manufacturing,Germany,Yes,1228401.06,1228401.06,1228401.06
L00281,B,0.05,1188521.07,0.45,7,Energy,Italy,Yes,2421248.48,2421248.48,0.0
L00282,A,0.002,202375.3,0.75,9,Energy,UK,No,350761.22,350761.22,350761.22
