Loan ID,Rating,EAD,Maturity,Sector,Country,Secured,PD,LGD
L00157,BB,122863.98,1,Retail,France,No,0.018,0.75
L00158,BB,402112.07,5,Retail,France,No,0.018,0.75
L00159,A,1478158.64,10,Transport,UK,No,0.002,0.75
L00160,BB,654942.12,9,Transport,Germany,Yes,0.018,0.45
L00161,BBB,438173.32,1,Transport,UK,No,0.005,0.75
L00162,BB,387920.07,1,Energy,Italy,Yes,0.018,0.45
L00163,BB,447411.01,4,Retail,UK,No,0.018,0.75
L00164,BBB,581612.42,4,Real Estate,USA,Yes,0.005,0.45
L00165,AA,245142.17,2,Energy,Italy,Yes,0.0006,0.45
L00166,B,772325.09,9,Manufacturing,France,Yes,0.05,0.45
L00167,A,632661.41,9,Finance,China,Yes,0.002,0.45
L00168,A,633549.15,2,Transport,Italy,Yes,0.002,0.45
L00169,AAA,550861.05,9,Retail,Germany,No,0.0003,0.75
L00170,BBB,446774.08,6,Finance,Germany,Yes,0.005,0.45
L00171,BB,619352.97,8,Healthcare,UK,Yes,0.018,0.45
L00172,AAA,594756.33,10,Energy,Italy,No,0.0003,0.75
L00173,BBB,370637.45,4,Manufacturing,France,Yes,0.005,0.45
L00174,A,332102.56,2,Healthcare,Germany,No,0.002,0.75
L00175,BB,465528.29,2,Energy,Brazil,Yes,0.018,0.45
L00176,A,959828.67,9,Energy,France,No,0.002,0.75
L00177,BB,238100.1,1,Real Estate,Brazil,Yes,0.018,0.45
L00178,BBB,212402.29,7,Finance,USA,Yes,0.005,0.45
L00179,B,480402.91,3,Real Estate,Brazil,Yes,0.05,0.45
L00180,AA,453814.52,3,Energy,Germany,Yes,0.0006,0.45
L00181,A,482468.46,2,Manufacturing,UK,No,0.002,0.75
L00182,AA,499806.65,10,Retail,USA,Yes,0.0006,0.45
L00183,B,395694.95,6,Retail,Italy,Yes,0.05,0.45
L00184,B,931854.27,10,Healthcare,France,Yes,0.05,0.45
L00185,A,198699.32,2,Finance,Germany,No,0.002,0.75
L00186,BB,292363.01,10,Transport,USA,Yes,0.018,0.45
L00187,B,420152.33,4,Transport,USA,No,0.05,0.75
L00188,BBB,194542.44,10,Retail,Germany,Yes,0.005,0.45
L00189,BBB,405174.37,9,Energy,Italy,Yes,0.005,0.45
L00190,A,1015341.01,9,Energy,Italy,Yes,0.002,0.45
L00191,AA,447057.83,6,Real Estate,UK,No,0.0006,0.75
L00192,B,496505.8,4,Finance,China,No,0.05,0.75
L00193,B,235606.33,7,Real Estate,Brazil,Yes,0.05,0.45
L00194,BB,325077.63,1,Transport,Italy,Yes,0.018,0.45
L00195,A,366737.57,4,Retail,UK,No,0.002,0.75
L00196,A,377430.77,5,Healthcare,Brazil,Yes,0.002,0.45
L00197,BB,839718.42,8,Energy,USA,Yes,0.018,0.45
L00198,B,584694.95,2,Retail,Germany,Yes,0.05,0.45
L00199,B,253792.18,5,Manufacturing,Italy,Yes,0.05,0.45
L00200,BB,500444.7,6,Retail,UK,Yes,0.018,0.45
L00201,BB,567565.18,5,Manufacturing,USA,Yes,0.018,0.45
L00202,AA,782363.32,9,Real Estate,Italy,Yes,0.0006,0.45
L00203,A,975075.66,10,Real Estate,France,No,0.002,0.75
L00204,B,266319.74,1,Transport,China,Yes,0.05,0.45
L00205,BB,294952.98,3,Retail,USA,No,0.018,0.75
L00206,AAA,235911.28,2,Retail,Italy,Yes,0.0003,0.45
L00207,AA,393560.49,3,Manufacturing,USA,No,0.0006,0.75
L00208,BB,558594.56,10,Real Estate,Germany,Yes,0.018,0.45
L00209,AAA,724811.76,9,Manufacturing,Germany,No,0.0003,0.75
L00210,A,425927.53,9,Real Estate,China,Yes,0.002,0.45
L00211,BBB,377028.57,10,Manufacturing,Germany,No,0.005,0.75
L00212,BB,477289.73,2,Real Estate,Brazil,Yes,0.018,0.45
L00213,BB,291393.12,3,Manufacturing,France,Yes,0.018,0.45
L00214,A,1257667.48,4,Healthcare,Germany,No,0.002,0.75
L00215,BB,198029.14,9,Real Estate,France,Yes,0.018,0.45
L00216,A,485226.12,3,Finance,Germany,Yes,0.002,0.45
L00217,A,1216882.85,7,Manufacturing,Brazil,No,0.002,0.75
L00218,BB,443920.12,3,Retail,USA,Yes,0.018,0.45
L00219,BB,402310.91,7,Transport,Italy,Yes,0.018,0.45
L00220,B,370007.03,7,Finance,Italy,No,0.05,0.75
L00221,BB,404256.22,9,Finance,Germany,Yes,0.018,0.45
L00222,BBB,878898.1,2,Manufacturing,Italy,No,0.005,0.75
L00223,AA,146395.78,6,Transport,Germany,Yes,0.0006,0.45
L00224,BBB,952377.58,9,Retail,Germany,No,0.005,0.75
L00225,A,217080.04,2,Finance,China,Yes,0.002,0.45
L00226,A,387191.17,2,Retail,UK,No,0.002,0.75
L00227,CCC,356959.56,5,Real Estate,UK,Yes,0.2,0.45
L00228,BBB,593787.41,10,Healthcare,China,Yes,0.005,0.45
L00229,B,198975.67,10,Transport,UK,No,0.05,0.75
L00230,BB,557426.72,10,Healthcare,France,Yes,0.018,0.45
L00231,BB,1217310.91,8,Energy,UK,No,0.018,0.75
L00232,BBB,223778.72,9,Real Estate,Germany,No,0.005,0.75
L00233,BBB,486432.33,2,Transport,Brazil,Yes,0.005,0.45
L00234,BBB,317746.42,5,Manufacturing,Brazil,No,0.005,0.75
L00235,A,547404.67,7,Healthcare,USA,Yes,0.002,0.45
L00236,BB,446669.35,6,Manufacturing,UK,Yes,0.018,0.45
L00237,A,321019.31,6,Retail,Brazil,Yes,0.002,0.45
L00238,AAA,564635.77,7,Finance,UK,No,0.0003,0.75
L00239,BB,1090529.65,3,Healthcare,USA,Yes,0.018,0.45
L00240,A,402137.0,3,Energy,Brazil,No,0.002,0.75
L00241,B,634047.39,10,Manufacturing,Germany,Yes,0.05,0.45
L00242,CCC,231738.19,9,Transport,France,No,0.2,0.75
L00243,B,274246.28,8,Healthcare,China,Yes,0.05,0.45
L00244,BBB,560286.28,5,Healthcare,China,No,0.005,0.75
L00245,AAA,929180.24,6,Finance,China,Yes,0.0003,0.45
L00246,B,528504.54,10,Finance,UK,Yes,0.05,0.45
L00247,BBB,378310.66,1,Transport,Brazil,Yes,0.005,0.45
L00248,CCC,442256.67,10,Finance,Brazil,No,0.2,0.75
L00249,CCC,236758.55,1,Manufacturing,USA,Yes,0.2,0.45
L00250,B,598545.4,4,Transport,Germany,No,0.05,0.75
L00251,A,687740.27,2,Transport,Italy,Yes,0.002,0.45
L00252,BBB,352905.23,7,Retail,Brazil,No,0.005,0.75
L00253,B,349751.76,2,Energy,France,Yes,0.05,0.45
L00254,A,505315.93,10,Healthcare,USA,Yes,0.002,0.45
L00255,A,355627.86,2,Retail,Brazil,Yes,0.002,0.45
L00256,BBB,428023.63,5,Energy,Brazil,Yes,0.005,0.45
L00257,B,1264087.27,4,Transport,USA,Yes,0.05,0.45
L00258,BB,391009.51,8,Healthcare,USA,No,0.018,0.75
L00259,BBB,369841.54,4,Finance,UK,No,0.005,0.75
L00260,AA,320048.91,6,Energy,Brazil,No,0.0006,0.75
L00261,BB,641841.06,5,Transport,Italy,Yes,0.018,0.45
L00262,CCC,404087.98,2,Transport,France,Yes,0.2,0.45
L00263,AA,319756.0,8,Retail,Germany,No,0.0006,0.75
L00264,BBB,856536.33,2,Retail,Germany,Yes,0.005,0.45
L00265,B,899686.37,9,Finance,Italy,No,0.05,0.75
L00266,BB,327678.5,9,Real Estate,USA,Yes,0.018,0.45
L00267,BB,173985.98,3,Manufacturing,USA,No,0.018,0.75
L00268,BB,732161.83,4,Real Estate,USA,Yes,0.018,0.45
L00269,BBB,314168.61,8,Real Estate,Brazil,No,0.005,0.75
L00270,A,656916.9,9,Healthcare,USA,Yes,0.002,0.45
L00271,B,165205.94,3,Healthcare,USA,No,0.05,0.75
L00272,B,691278.92,5,Finance,Brazil,Yes,0.05,0.45
L00273,B,241449.12,8,Healthcare,Brazil,No,0.05,0.75
L00274,B,637546.22,3,Energy,Italy,No,0.05,0.75
L00275,BBB,445581.98,7,Finance,UK,Yes,0.005,0.45
L00276,BBB,274588.88,8,Finance,Brazil,Yes,0.005,0.45
L00277,BB,360945.35,10,Transport,France,Yes,0.018,0.45
L00278,BB,623534.41,3,Transport,USA,Yes,0.018,0.45
L00279,BB,466469.18,2,Transport,UK,Yes,0.018,0.45
L00280,BB,592559.45,10,Manufacturing,Germany,Yes,0.018,0.45
L00281,B,1188521.07,7,Energy,Italy,Yes,0.05,0.45
L00282,A,202375.3,9,Energy,UK,No,0.002,0.75
L00283,BBB,993119.51,1,Transport,Brazil,No,0.005,0.75
L00284,AA,466110.48,3,Real Estate,USA,Yes,0.0006,0.45
L00285,BBB,282266.79,5,Manufacturing,USA,No,0.005,0.75
L00286,AAA,227485.82,3,Real Estate,USA,No,0.0003,0.75
L00287,BBB,402495.75,1,Retail,UK,Yes,0.005,0.45
L00288,BBB,701394.0,7,Energy,USA,Yes,0.005,0.45
L00289,A,415079.54,7,Energy,Brazil,Yes,0.002,0.45
L00290,BBB,941827.55,10,Real Estate,UK,No,0.005,0.75
L00291,AAA,214145.75,8,Manufacturing,USA,No,0.0003,0.75
L00292,AAA,439747.3,5,Energy,Germany,Yes,0.0003,0.45
L00293,B,236523.6,10,Real Estate,Germany,No,0.05,0.75
L00294,BBB,530627.71,5,Finance,France,Yes,0.005,0.45
L00295,AA,689308.15,5,Finance,USA,Yes,0.0006,0.45
L00296,BBB,358476.76,1,Healthcare,USA,No,0.005,0.75
L00297,BB,120317.95,10,Manufacturing,UK,No,0.018,0.75
L00298,A,488685.33,5,Real Estate,UK,Yes,0.002,0.45
L00299,BB,550382.78,6,Healthcare,China,Yes,0.018,0.45
L00300,AA,541526.55,1,Finance,USA,No,0.0006,0.75
L00301,AA,820682.09,7,Manufacturing,France,Yes,0.0006,0.45
L00302,BBB,258971.46,1,Healthcare,USA,No,0.005,0.75
L00303,BBB,621634.79,2,Transport,Brazil,Yes,0.005,0.45
L00304,BB,803115.45,2,Manufacturing,UK,Yes,0.018,0.45
L00305,BB,181807.95,5,Retail,USA,Yes,0.018,0.45
L00306,CCC,519086.55,10,Transport,UK,Yes,0.2,0.45
L00307,BBB,343832.56,7,Healthcare,USA,No,0.005,0.75
L00308,A,424742.62,1,Real Estate,Italy,Yes,0.002,0.45
L00309,BB,526411.36,10,Transport,UK,Yes,0.018,0.45
L00310,A,346759.15,1,Transport,France,Yes,0.002,0.45
L00311,BBB,315573.2,1,Healthcare,Italy,Yes,0.005,0.45
L00312,AA,450033.01,6,Real Estate,Brazil,No,0.0006,0.75
L00313,AAA,256883.26,2,Real Estate,USA,No,0.0003,0.75
L00314,CCC,257065.82,1,Finance,China,Yes,0.2,0.45
L00315,B,621372.89,6,Retail,Brazil,No,0.05,0.75
L00316,BB,249098.33,2,Real Estate,UK,No,0.018,0.75
L00317,BBB,617328.3,6,Energy,Italy,No,0.005,0.75
L00318,A,557543.41,10,Energy,Brazil,Yes,0.002,0.45
L00319,A,186669.81,8,Retail,France,Yes,0.002,0.45
L00320,A,315280.4,2,Manufacturing,China,Yes,0.002,0.45
L00321,BBB,803758.96,9,Healthcare,UK,No,0.005,0.75
L00322,BB,270876.22,8,Manufacturing,Italy,No,0.018,0.75
L00323,BB,350739.08,10,Energy,Brazil,Yes,0.018,0.45
L00324,A,557395.57,1,Real Estate,Italy,Yes,0.002,0.45
L00325,CCC,654544.76,7,Retail,Italy,Yes,0.2,0.45
L00326,BB,390128.15,10,Manufacturing,Brazil,Yes,0.018,0.45
L00327,BBB,328156.17,6,Manufacturing,Germany,No,0.005,0.75
L00328,BB,900931.88,6,Healthcare,USA,Yes,0.018,0.45
L00329,BBB,1055420.51,6,Transport,UK,Yes,0.005,0.45
L00330,A,721746.34,6,Energy,UK,No,0.002,0.75
L00331,BBB,461694.67,10,Real Estate,China,Yes,0.005,0.45
L00332,BB,295335.46,7,Retail,China,No,0.018,0.75
L00333,AAA,292078.48,3,Manufacturing,China,Yes,0.0003,0.45
L00334,AA,574500.96,6,Healthcare,UK,Yes,0.0006,0.45
L00335,AAA,545358.75,3,Transport,Italy,Yes,0.0003,0.45
L00336,AAA,891623.55,7,Energy,China,No,0.0003,0.75
L00337,B,612451.51,7,Energy,Brazil,Yes,0.05,0.45
L00338,BB,208659.67,8,Healthcare,USA,Yes,0.018,0.45
L00339,BBB,748610.28,2,Retail,France,No,0.005,0.75
L00340,AA,268597.62,9,Manufacturing,UK,Yes,0.0006,0.45
L00341,BBB,365132.06,5,Retail,Brazil,Yes,0.005,0.45
L00342,BBB,501370.24,9,Healthcare,USA,Yes,0.005,0.45
L00343,A,1200001.96,10,Healthcare,USA,Yes,0.002,0.45
L00344,BBB,2094780.39,5,Retail,Germany,No,0.005,0.75
L00345,BBB,599206.48,7,Finance,Brazil,No,0.005,0.75
L00346,BB,403689.66,9,Transport,UK,No,0.018,0.75
L00347,BB,577955.89,4,Energy,China,No,0.018,0.75
L00348,AAA,689572.91,2,Finance,Italy,Yes,0.0003,0.45
L00349,BBB,376874.0,9,Real Estate,China,No,0.005,0.75
L00350,BB,1085559.06,2,Energy,USA,Yes,0.018,0.45
L00351,BBB,496349.39,3,Energy,USA,Yes,0.005,0.45
L00352,B,567429.36,10,Transport,France,Yes,0.05,0.45
L00353,BB,617208.47,2,Real Estate,China,Yes,0.018,0.45
L00354,A,546228.85,3,Manufacturing,Germany,No,0.002,0.75
L00355,AA,672979.57,6,Real Estate,USA,Yes,0.0006,0.45
L00356,BB,324932.71,3,Manufacturing,USA,Yes,0.018,0.45
L00357,AAA,334652.89,10,Real Estate,Italy,Yes,0.0003,0.45
L00358,BBB,255230.64,8,Retail,Italy,Yes,0.005,0.45
L00359,B,551143.57,6,Healthcare,France,Yes,0.05,0.45
L00360,BBB,653088.71,7,Real Estate,Brazil,No,0.005,0.75
L00361,BBB,556201.79,1,Finance,France,Yes,0.005,0.45
L00362,BB,1021973.6,3,Finance,France,No,0.018,0.75
L00363,BBB,441177.25,3,Transport,Italy,Yes,0.005,0.45
L00364,BBB,618078.55,2,Healthcare,China,Yes,0.005,0.45
L00365,B,256311.7,7,Healthcare,China,No,0.05,0.75
L00366,BBB,364561.36,9,Manufacturing,China,No,0.005,0.75
L00367,CCC,626415.32,4,Energy,Brazil,Yes,0.2,0.45
L00368,B,676407.55,5,Transport,Italy,No,0.05,0.75
L00369,A,381939.13,3,Finance,Germany,No,0.002,0.75
L00370,AA,426855.31,9,Finance,UK,No,0.0006,0.75
L00371,AA,207121.97,4,Manufacturing,UK,No,0.0006,0.75
L00372,AAA,370084.04,5,Finance,Germany,No,0.0003,0.75
L00373,AA,690514.04,1,Finance,China,Yes,0.0006,0.45
L00374,BB,589837.59,2,Manufacturing,UK,No,0.018,0.75
L00375,AA,568259.16,9,Finance,Brazil,Yes,0.0006,0.45
L00376,A,453561.81,2,Energy,Italy,No,0.002,0.75
L00377,B,443978.57,5,Retail,UK,Yes,0.05,0.45
L00378,AAA,318010.42,8,Transport,Brazil,Yes,0.0003,0.45
L00379,B,627446.83,3,Energy,Italy,Yes,0.05,0.45
L00380,A,546061.27,6,Energy,Brazil,Yes,0.002,0.45
L00381,AA,565807.63,4,Retail,Germany,Yes,0.0006,0.45
L00382,BB,340095.79,7,Healthcare,France,Yes,0.018,0.45
L00383,BB,150742.53,10,Transport,Germany,No,0.018,0.75
L00384,B,765723.45,3,Energy,UK,No,0.05,0.75
L00385,BB,348217.05,6,Finance,Italy,Yes,0.018,0.45
L00386,B,287394.79,10,Retail,Brazil,No,0.05,0.75
L00387,A,625770.8,9,Healthcare,UK,Yes,0.002,0.45
L00388,A,363666.92,10,Transport,UK,Yes,0.002,0.45
L00389,BB,751606.5,1,Real Estate,France,No,0.018,0.75
L00390,B,602295.2,3,Manufacturing,China,No,0.05,0.75
L00391,CCC,622677.91,2,Finance,UK,Yes,0.2,0.45
L00392,BBB,223467.7,8,Retail,France,Yes,0.005,0.45
L00393,BBB,810958.36,7,Manufacturing,Italy,Yes,0.005,0.45
L00394,BB,504148.06,2,Healthcare,Italy,Yes,0.018,0.45
L00395,A,367824.58,6,Healthcare,Brazil,Yes,0.002,0.45
L00396,B,475296.56,3,Real Estate,China,No,0.05,0.75
L00397,B,182021.92,8,Energy,France,No,0.05,0.75
L00398,BBB,542707.84,10,Energy,Germany,No,0.005,0.75
L00399,BB,264425.35,3,Transport,Italy,Yes,0.018,0.45
L00400,BB,224957.07,10,Retail,China,No,0.018,0.75
L00401,AA,206657.97,9,Retail,Brazil,Yes,0.0006,0.45
L00402,B,771694.63,1,Healthcare,Germany,Yes,0.05,0.45
L00403,BBB,322987.31,5,Transport,Italy,Yes,0.005,0.45
L00404,B,952517.59,3,Manufacturing,Italy,No,0.05,0.75
L00405,A,338439.04,6,Energy,Brazil,No,0.002,0.75
L00406,B,188399.69,10,Energy,Brazil,Yes,0.05,0.45
L00407,BBB,253150.08,2,Healthcare,USA,Yes,0.005,0.45
L00408,AAA,820694.17,9,Retail,UK,Yes,0.0003,0.45
L00409,B,409237.48,6,Healthcare,UK,No,0.05,0.75
L00410,AA,336332.78,7,Retail,Germany,Yes,0.0006,0.45
L00411,A,479265.07,5,Transport,UK,Yes,0.002,0.45
L00412,CCC,568576.63,9,Real Estate,Germany,No,0.2,0.75
L00413,CCC,773514.28,1,Manufacturing,China,Yes,0.2,0.45
